Team Name,Player Name,Position,Ballotaggio
Torino,Ismajli,D,Yes
Torino,Masina,D,Yes
Torino,Biraghi,D,No
Torino,Anjorin,C,No
Torino,Ilkhan,C,Yes
Torino,Ilic,C,Yes
Torino,Casadei,C,No
Torino,Vlasic,C,Yes
Torino,Ngonge,A,Yes
Torino,Simeone,A,No
Torino,Zapata D.,A,Yes
Torino,Adams C.,A,Yes
Udinese,Okoye,P,Yes
Udinese,Sava,P,Yes
Udinese,Palma,D,Yes
Udinese,Goglichidze,D,Yes
Udinese,Kristensen T.,D,Yes
Udinese,Bertola,D,Yes
Udinese,Solet,D,No
Udinese,Ehizibue,D,No
Udinese,Lovric,C,Yes
Udinese,Piotrowski,C,Yes
Udinese,Miller L.,C,Yes
Udinese,Karlstrom,C,No
Udinese,Atta,C,No
Udinese,Zemura,D,Yes
Udinese,Kamara H.,D,Yes
Udinese,Ekkelenkamp,C,Yes
Udinese,Bravo,A,Yes
Udinese,Davis K.,A,No
Verona,Montipò,P,No
Verona,Unai Nunez,D,No
Verona,Ebosse,D,No
Verona,Bradaric,D,Yes
Verona,Valentini N.,D,Yes
Verona,Belghali,D,No
Verona,Niasse,C,Yes
Verona,Santiago,C,Yes
Verona,Serdar,C,No
Verona,Frese,D,No
Verona,Harroui,C,Yes
Verona,Bernede,C,Yes
Verona,Giovane,A,Yes
Verona,Mosquera,A,Yes
Verona,Sarr A.,A,No
